127.0.0.1 - - [30/Jan/2018:09:11:23 +0900] "GET / HTTP/1.1" 404 1073
70.12.114.104 - - [30/Jan/2018:09:11:55 +0900] "GET /edu/homework/homework.html HTTP/1.1" 200 3542
70.12.114.104 - - [30/Jan/2018:09:11:55 +0900] "GET /edu/homework/%EA%B3%B5%ED%95%AD.jpg HTTP/1.1" 200 340735
70.12.114.104 - - [30/Jan/2018:09:11:55 +0900] "GET /edu/homework/image.png HTTP/1.1" 200 373253
70.12.114.104 - - [30/Jan/2018:09:11:56 +0900] "GET /edu/homework/kumdo.mp4 HTTP/1.1" 206 10163172
70.12.114.104 - - [30/Jan/2018:09:11:56 +0900] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [30/Jan/2018:09:23:33 +0900] "GET /edu/images/jpg.jpg HTTP/1.1" 404 1099
70.12.114.104 - - [30/Jan/2018:09:23:41 +0900] "GET /edu/homework.html HTTP/1.1" 200 3542
70.12.114.104 - - [30/Jan/2018:09:23:41 +0900] "GET /edu/image.png HTTP/1.1" 200 373253
70.12.114.104 - - [30/Jan/2018:09:23:41 +0900] "GET /edu/kumdo.mp4 HTTP/1.1" 206 10163172
70.12.114.113 - - [30/Jan/2018:09:24:41 +0900] "GET /edu/homework.html HTTP/1.1" 200 3542
70.12.114.113 - - [30/Jan/2018:09:24:41 +0900] "GET /edu/homework/%EA%B3%B5%ED%95%AD.jpg HTTP/1.1" 200 340735
70.12.114.113 - - [30/Jan/2018:09:24:41 +0900] "GET /edu/image.png HTTP/1.1" 200 373253
70.12.114.113 - - [30/Jan/2018:09:24:42 +0900] "GET /edu/kumdo.mp4 HTTP/1.1" 206 10163172
70.12.114.113 - - [30/Jan/2018:09:24:42 +0900] "GET /favicon.ico HTTP/1.1" 404 1084
70.12.114.104 - - [30/Jan/2018:09:24:55 +0900] "GET /edu/homework.html HTTP/1.1" 304 -
70.12.114.112 - - [30/Jan/2018:09:44:38 +0900] "GET /edu/homework.html HTTP/1.1" 200 3542
70.12.114.112 - - [30/Jan/2018:09:44:38 +0900] "GET /edu/homework/%EA%B3%B5%ED%95%AD.jpg HTTP/1.1" 200 340735
70.12.114.112 - - [30/Jan/2018:09:44:38 +0900] "GET /edu/image.png HTTP/1.1" 200 373253
70.12.114.112 - - [30/Jan/2018:09:44:38 +0900] "GET /edu/kumdo.mp4 HTTP/1.1" 206 10163172
70.12.114.112 - - [30/Jan/2018:09:44:38 +0900] "GET /favicon.ico HTTP/1.1" 404 1084
