127.0.0.1 - - [02/Feb/2018:09:27:03 +0900] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [02/Feb/2018:09:27:08 +0900] "GET /edu/jsexam/exercise6_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2018:09:27:08 +0900] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [02/Feb/2018:09:27:23 +0900] "GET /edu/jsexam/dom/exam8.html HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [02/Feb/2018:09:38:08 +0900] "GET /edu/jsexam/dom/exam9.html HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [02/Feb/2018:09:38:17 +0900] "GET /edu/jsexam/dom/exam9.html HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [02/Feb/2018:09:38:17 +0900] "GET /edu/jsexam/dom/exam9.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2018:09:43:06 +0900] "GET /edu/jsexam/dom/exam9.html HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [02/Feb/2018:09:43:07 +0900] "GET /edu/jsexam/dom/exam9.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2018:09:43:07 +0900] "GET /edu/jsexam/dom/exam9.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2018:09:45:44 +0900] "GET /edu/jsexam/dom/exam9.html HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [02/Feb/2018:09:45:44 +0900] "GET /edu/jsexam/dom/exam9.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2018:09:45:44 +0900] "GET /edu/jsexam/dom/exam9.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2018:09:45:44 +0900] "GET /edu/jsexam/dom/exam9.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2018:09:46:02 +0900] "GET /edu/jsexam/dom/exam9.html HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [02/Feb/2018:09:46:07 +0900] "GET /edu/jsexam/dom/exam9.html HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [02/Feb/2018:09:46:07 +0900] "GET /edu/jsexam/dom/exam9.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2018:09:46:12 +0900] "GET /edu/jsexam/dom/exam9.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2018:09:46:12 +0900] "GET /edu/jsexam/dom/exam9.html HTTP/1.1" 200 389
